barcode,name,cost,sell
6924975,حماليه,1500,2
6972950819534,شفرة حلاقة اصلي greatmax,875,1000
5487164,جلافه الليره اصلي رصاصي,111,200
8697422630476,بيكنج باودر زير 10غ*40ق,28,200
6162730734670,شفرة حلاقة العادي 5قطع darcco,500,750
140788141501652708,كتشب الطازج ظرف صغير,20,50
009647509792,ماء كرستال 12بطل,52,250
5449000185549,كولا 185مل قواطي,241,250
9556121028894,جوليز ليموند صغير مشكل 24قطعه,225,250
5449000000996,كولا 330 قوطيه عريض,285,500
8998866801515,صابون جيف 40غرام GIV,531,750
6215788586873,جبس 40قطعه مشكل,187,250
3,بهارات الطباخ مشكل,825,1000
5449000030245,كولا عائلي 750مل مشكل,541,750
8690814071208,شعريه فاخر كيس صغير,160,200
4,بهارات النسر الذهبي علبه,416,1000
6212551012287,ببسي 185مل بغداد,250,250
5285000395164,اندومي supermi,228,250
140788141501652790,راس ممه فل شفاف شطر,142,250
140788141501652725,درزن علاليك اسود,237,500
6362023907112,سباكتي bustan 150g كيس صغير,150,250
8697422630483,فانيلين بالسكر زير 40كيس,22,200
6251044000851,جبس ليز صغير مشكل,214,250
8690506541675,صابون فاكس Fax 100g,277,333
633710173209,صابون وندرفول 125غ wonderful,299,333
4820156639543,بسكت كرونه نايلون 60غ,215,250
6212201061092,ببسي مشكل 150مل قوطيه صغير,203,250
6244562166697,جبس 48قطعه مشكل,208,250
885324189,معجون اسنان كولجيت عادي عرض خاص,1000,1000
6974122722598,معجون اسنان مع فرشه عرض خاص,1500,1500
91191129162036,سفنج ملون ربطه 8قطع صغار,350,750
8681725027682,صابون افيلا 70غ evila مشكل,209,250
0162300248460162,بسكت سامك شمائل,79,125
6215001172081,كلنس بينوتكس اصفر,450,750
8699969224378,صاص كولى روز 320غ مشكل,202,500
9648532,شربت خالقي مشكل 450cc,1000,1250
6214960117492,شوكلاته كارم بركات barakat,218,250
8681407011589,صابون Lia ليا 115g,305,333
8690526450742,نستله ويف اب 30غ wafa up مشكل,219,250
9506000131528,عصير فادي 365مل بلاستك,166,250
850064550429,نستله ريفرز riverz مشكل 40غ,218,250
8690997080301,حامض حلو x-Bon 38g مشكل,201,250
6950867102321,باتريات تايكر مشكل زوج 1,283,500
25449000025173,كولا عائلي 1.75مل مشكل,930,1250
8697449909845,شعريه التونسا 200غ كيس,210,250
40222417,لاكسوري,21,125
8681259500194,علك STICK اصلي,165,250
6986438920193,جداحه ليزر مشكل,100,250
8690526023861,بوب كيك 45غ pop eti مشكل,218,250
6253804984432,كيك بار اليوم مشكل bar,166,250
6260662201670,معجون جوكر 400g قوطيه,792,1000
6212201062129,ببسي مشكل 750مل بطل وسط,425,750
6739225235822,جداحه عادي baida,80,200
8997220604328,صابون ليكسي 140غرام  مشكل,604,750
140788141501652713,علك ماء ماعون,65,125
9655899919929,ملح طعام العائله كيس,146,200
6212201011035,ببسي 330مل قواطي عريض,364,500
6970776620075,لاصق فائر mouse rat اخضر,260,500
9555246325093,صابون جوليت 75غ مشكل,135,200
6337101596922,كيك 1day مشكل,97,125
140788141501652699,ماء الواحه بطل,125,250
6931575111232,عود اسنان بلاستك صغير مشكل,145,250
7622202272431,شربت تانج برتقال باكيت 1.2لتر,459,500
9504000266899,زيت الدار 900غ بطل,1950,2250
671866277716,علك لوتي spout مشكل,145,250
8683749092806,جلي بونارت 30غ حبل مشكل bonart,216,250
8697449912371,شوربه التونسا 60غ اكياس,263,750
8997220604830,صابون ليكسي 140غ lexi,435,750
8684341014241,خبز صاج مرسي وسط marcy,1041,1500
8697439300225,ويفر نستله  24ق WAFERS Toren,212,250
8690562007214,بيفا فول توب fulltop 24pc مشكل,198,250
6291003633355,بسكت داي بريك 14غ day break,109,125
6337101510478,شعريه 700غ RAZ,675,1000
140788141501652622,سكين وسط درزن 12قطعه,292,333
6291003084676,بريك دي لايت 14غ,108,125
2,بيض ابيض طبقه 24كغم,177,250
6212551031141,ببسي 750مل بغداد,542,750
8697901920425,حفاضات نسمه حنين مشكل,3050,3250
8690526784892,جين 25غرام شفاف مشكل,215,250
6212201012407,ببسي 300مل بطل صغير مشكل,224,250
8681863047610,بزبز بسكت كوفكيت 50غ مشكل,208,250
9556121033720,جوليز اصابع 37.5غ le-mond مشكل,225,250
6945535101218,كوب سفري 40مل صغير 50كوب,475,1000
91191129162035,ربطه جلافه ملون 3قطع ديمه,291,500
6222055400046,بطاطس 2.5كغم بارت part,4750,5500
6210004852640,كلنس حرير 600سحبه,625,1000
6251073004318,جبس نايس مشكل 48ق,197,250
8690506490478,صابون دورو زيتون 150غ مربع DURU,645,750
6253804984678,تمريه سمايلي اليوم,188,250
8691066205939,هاي هاي 30غ مشكل hay hay,210,250
40084077,كندر 21غرام اصابع,236,250
80761761,kinder bueno 39g مشكل,1062,1250
4820156634449,بسكت بورك مشكل 41غ كرونه,215,250
6260009113055,كفوف عمل اصلي ايمن كار,1291,1500
54492509,كولا 250مل زجاجي مشكل,300,500
6253503460022,تايكر 250مل  الاصلي,875,1000
8697901929800,صابون الماس ALMAS 70g,204,250
8684083800928,كيك رودي سفنجي rody,208,250
8681451514012,علك هنكاري شريط مدعبل 30غ,217,250
8697422637765,زيت 700مل زير,1600,1750
264921054058,صلصه حارة الطازج الذهبي 88مل,277,500
6215370125220,كيك كبه هندرين مشكل,218,250
6251089003848,عصير رند 250مل باكيت,170,250
8681863047849,بزبز نستله كوفكيت 60غ مشكل,208,250
2566842354452,كلنس ياقوت 600قطعة,585,750
6212202023013,ببسي 250مل زجاجي,366,500
8684641269426,خبز صاج دبل Tortilla,2475,3000
8697422633873,شعريه 200غ زير,283,500
8690526704012,كراكس اصابع سادة 32غ  CRAX,206,250
6214960308173,شوكلاته بك فون BIG FUN مشكل,218,250
6253805130050,عصير ريحانه باكيت 250مل مشكل,135,250
6214961003015,شوكلاته دوبينغو بركات dobingo,218,250
619185647582,طحين داس 750غ,600,1000
165300300380016,منتج اضافي,1,24500
8681407012111,شامبو Hair 750g مشكل,1333,1500
9501101941212,صوصج دجاج بوادي 340غ,750,1250
6934416431469,عيدان اذان lijh,354,500
